date time,st1,st2,st3,st4
2017-03-03 00:00:00,7.88,11.342,10.446,10.383
2017-03-04 00:00:00,8.305,11.341,10.398,10.352
2017-03-05 00:00:00,8.201,11.279,10.406,10.36
2017-03-06 00:00:00,8.195,11.298,10.373,10.47
2017-03-07 00:00:00,8.133,11.288,10.381,10.722
2017-03-08 00:00:00,8.128,11.307,10.523,10.71
2017-03-09 00:00:00,8.029,11.268,10.588,10.638
2017-03-10 00:00:00,8.007,11.223,10.567,10.677
2017-03-11 00:00:00,8.182,11.144,10.733,11.079
2017-03-12 00:00:00,8.185,11.043,10.722,11.063
2017-03-13 00:00:00,8.182,10.976,10.654,10.914
2017-03-14 00:00:00,8.217,10.97,10.643,10.932
2017-03-15 00:00:00,8.164,10.974,10.566,10.994
2017-03-16 00:00:00,8.171,10.938,10.565,11.017
2017-03-17 00:00:00,8.099,10.968,10.546,11.573
2017-03-18 00:00:00,8.09,11.045,10.501,11.508
2017-03-19 00:00:00,8.015,10.985,10.518,11.426
2017-03-20 00:00:00,8.039,11.017,10.596,11.3
2017-03-21 00:00:00,7.998,10.961,10.512,11.199
2017-03-22 00:00:00,7.989,10.893,10.465,11.172
2017-03-23 00:00:00,7.931,10.886,10.406,11.123
2017-03-24 00:00:00,7.966,10.943,10.645,11.096
2017-03-25 00:00:00,7.926,10.879,10.603,11.072
2017-03-26 00:00:00,7.9,10.851,10.565,10.98
2017-03-27 00:00:00,7.823,10.919,10.625,11.068
2017-03-28 00:00:00,7.76,11.327,10.587,11.022
2017-03-29 00:00:00,7.678,11.326,11.006,11.067
2017-03-30 00:00:00,7.863,11.291,10.973,11.014
2017-03-31 00:00:00,7.802,11.284,11.279,10.974
2017-04-01 00:00:00,7.76,11.35,11.29,10.968
2017-04-02 00:00:00,7.786,11.337,11.285,10.857
2017-04-03 00:00:00,8.008,11.33,11.266,11.174
2017-04-04 00:00:00,7.942,11.319,11.116,11.038
2017-04-05 00:00:00,7.904,11.22,11.103,11.017
2017-04-06 00:00:00,7.955,11.426,11.068,10.945
2017-04-07 00:00:00,8.228,11.434,11.088,11.22
2017-04-08 00:00:00,8.211,11.36,11.108,11.205
2017-04-09 00:00:00,8.153,11.331,10.981,11.248
2017-04-10 00:00:00,8.164,11.201,10.914,11.25
2017-04-11 00:00:00,8.08,11.214,10.91,11.34
2017-04-12 00:00:00,8.053,11.217,10.977,11.886
2017-04-13 00:00:00,8.049,11.199,10.912,11.941
2017-04-14 00:00:00,8.007,11.196,10.897,11.909
2017-04-15 00:00:00,8.022,11.585,10.812,11.896
2017-04-16 00:00:00,8.001,11.454,10.796,11.822
2017-04-17 00:00:00,8.008,11.495,10.779,11.781
2017-04-18 00:00:00,7.957,11.348,10.77,11.831
2017-04-19 00:00:00,8.272,11.361,10.736,11.653
2017-04-20 00:00:00,8.242,11.243,10.751,11.477
2017-04-21 00:00:00,8.247,11.245,10.704,11.578
2017-04-22 00:00:00,8.509,11.186,10.763,11.558
2017-04-23 00:00:00,8.422,11.117,11.287,11.666
2017-04-24 00:00:00,8.472,11.416,11.613,11.619
2017-04-25 00:00:00,8.458,11.399,11.572,11.485
2017-04-26 00:00:00,8.381,11.306,11.491,11.492
2017-04-27 00:00:00,8.385,11.317,11.368,11.492
2017-04-28 00:00:00,8.389,11.22,11.309,11.403
2017-04-29 00:00:00,8.37,11.17,11.194,11.434
2017-04-30 00:00:00,8.364,11.253,11.1,11.332
2017-05-01 00:00:00,8.178,11.174,11.282,11.255
2017-05-02 00:00:00,8.127,11.24,11.236,11.254
2017-05-03 00:00:00,8.039,11.173,11.168,11.171
2017-05-04 00:00:00,7.938,11.147,11.109,11.085
2017-05-05 00:00:00,7.846,11.47,11.023,11.164
2017-05-06 00:00:00,7.801,11.495,11.035,11.054
2017-05-07 00:00:00,7.873,11.416,11.015,10.989
2017-05-08 00:00:00,7.683,11.345,10.938,10.948
2017-05-09 00:00:00,7.736,11.326,11.0,10.865
2017-05-10 00:00:00,7.817,11.246,11.134,10.786
2017-05-11 00:00:00,7.731,11.233,11.125,10.821
2017-05-12 00:00:00,7.744,11.172,11.446,10.756
2017-05-13 00:00:00,7.616,11.172,11.397,11.016
2017-05-14 00:00:00,7.585,11.101,11.377,10.866
2017-05-15 00:00:00,7.529,10.997,11.355,10.695
2017-05-16 00:00:00,7.517,10.957,11.29,10.641
2017-05-17 00:00:00,7.518,11.236,11.271,10.557
2017-05-18 00:00:00,7.598,11.11,11.175,10.591
2017-05-19 00:00:00,7.566,11.042,11.153,10.841
2017-05-20 00:00:00,7.499,11.032,11.062,10.794
2017-05-21 00:00:00,7.486,10.988,11.126,10.777
2017-05-22 00:00:00,7.456,10.933,11.181,10.753
2017-05-23 00:00:00,7.454,11.211,11.389,10.734
2017-05-24 00:00:00,7.559,11.202,11.401,10.626
2017-05-25 00:00:00,7.512,11.318,11.353,10.494
2017-05-26 00:00:00,7.485,11.269,11.303,10.453
2017-05-27 00:00:00,7.765,11.278,11.23,10.452
2017-05-28 00:00:00,7.704,11.242,11.179,10.368
2017-05-29 00:00:00,7.69,11.184,11.195,10.34
2017-05-30 00:00:00,7.576,11.135,11.212,10.254
2017-05-31 00:00:00,7.652,11.061,11.148,10.205
2017-06-01 00:00:00,7.677,11.109,11.381,10.098
2017-06-02 00:00:00,7.962,11.061,11.568,10.145
2017-06-03 00:00:00,7.882,11.451,11.419,10.152
2017-06-04 00:00:00,7.812,11.732,11.689,10.121
2017-06-05 00:00:00,7.706,11.597,11.577,10.104
2017-06-06 00:00:00,7.695,11.641,11.429,10.013
2017-06-07 00:00:00,7.751,11.552,11.362,9.951
2017-06-08 00:00:00,7.721,11.911,11.202,10.223
2017-06-09 00:00:00,7.831,11.724,11.155,10.263
2017-06-10 00:00:00,7.773,11.831,11.128,10.285
2017-06-11 00:00:00,7.825,11.728,11.058,10.096
2017-06-12 00:00:00,7.823,11.599,11.172,9.994
2017-06-13 00:00:00,7.768,11.441,11.099,9.827
2017-06-14 00:00:00,7.702,11.322,11.038,9.709
2017-06-15 00:00:00,7.706,11.27,10.988,9.627
2017-06-16 00:00:00,7.621,11.183,10.868,9.705
2017-06-17 00:00:00,7.602,11.163,10.806,9.601
2017-06-18 00:00:00,7.582,11.093,10.815,9.599
2017-06-19 00:00:00,7.471,10.918,10.822,9.606
2017-06-20 00:00:00,7.396,10.876,10.738,9.541
2017-06-21 00:00:00,7.242,10.805,10.68,9.975
2017-06-22 00:00:00,7.242,10.791,10.609,10.301
2017-06-23 00:00:00,7.448,10.702,10.523,10.611
2017-06-24 00:00:00,7.381,10.786,10.482,10.46
2017-06-25 00:00:00,7.328,10.788,10.446,10.321
2017-06-26 00:00:00,7.274,10.939,10.487,10.197
2017-06-27 00:00:00,7.214,10.878,10.624,10.141
2017-06-28 00:00:00,7.207,11.043,10.546,10.18
2017-06-29 00:00:00,7.226,10.902,10.493,10.134
2017-06-30 00:00:00,7.135,10.739,10.401,10.09
2017-07-01 00:00:00,7.079,10.735,10.168,10.01
2017-07-02 00:00:00,7.351,10.638,10.077,9.862
2017-07-03 00:00:00,7.327,10.55,10.067,9.861
2017-07-04 00:00:00,7.246,10.468,10.355,9.881
2017-07-05 00:00:00,7.214,10.347,10.217,10.09
2017-07-06 00:00:00,7.159,10.182,10.193,10.006
2017-07-07 00:00:00,7.019,10.213,10.132,9.901
2017-07-08 00:00:00,6.922,10.068,10.073,9.876
2017-07-09 00:00:00,6.853,10.018,9.96,9.871
2017-07-10 00:00:00,6.869,10.018,9.801,9.794
2017-07-11 00:00:00,6.881,10.188,9.652,9.75
2017-07-12 00:00:00,6.838,10.124,9.6,9.964
2017-07-13 00:00:00,6.907,10.033,9.629,10.016
2017-07-14 00:00:00,6.783,10.044,9.625,9.967
2017-07-15 00:00:00,6.682,9.935,9.623,10.037
2017-07-16 00:00:00,6.747,10.236,9.553,9.951
2017-07-17 00:00:00,6.688,10.181,9.533,9.929
2017-07-18 00:00:00,6.606,10.193,9.568,9.902
2017-07-19 00:00:00,6.494,10.246,9.599,9.774
2017-07-20 00:00:00,6.242,10.156,9.516,9.678
2017-07-21 00:00:00,6.427,10.07,9.421,9.605
2017-07-22 00:00:00,6.332,10.047,9.444,9.532
2017-07-23 00:00:00,6.444,10.008,9.41,9.448
2017-07-24 00:00:00,6.423,9.886,9.308,9.421
2017-07-25 00:00:00,6.43,9.848,9.523,9.382
2017-07-26 00:00:00,6.246,9.726,9.448,9.418
2017-07-27 00:00:00,6.342,9.598,9.494,9.34
2017-07-28 00:00:00,6.287,9.446,9.447,9.337
2017-07-29 00:00:00,6.227,9.588,9.443,9.269
2017-07-30 00:00:00,6.623,9.946,9.338,9.204
2017-07-31 00:00:00,6.561,9.776,9.498,9.126
2017-08-01 00:00:00,6.833,9.795,9.454,9.04
2017-08-02 00:00:00,6.72,10.011,9.371,8.983
2017-08-03 00:00:00,6.73,9.962,9.281,8.974
2017-08-04 00:00:00,6.652,9.783,9.272,8.948
2017-08-05 00:00:00,6.544,9.684,9.172,8.895
2017-08-06 00:00:00,6.464,9.613,9.022,9.01
2017-08-07 00:00:00,6.406,9.53,9.014,8.918
2017-08-08 00:00:00,6.226,9.466,9.05,8.983
2017-08-09 00:00:00,6.15,9.397,9.066,8.892
2017-08-10 00:00:00,6.227,9.301,9.148,8.881
2017-08-11 00:00:00,6.286,9.188,9.119,8.823
2017-08-12 00:00:00,6.32,9.133,9.04,8.811
2017-08-13 00:00:00,6.309,9.285,9.051,8.724
2017-08-14 00:00:00,6.159,9.251,9.047,8.694
2017-08-15 00:00:00,6.016,9.217,9.073,8.826
2017-08-16 00:00:00,6.155,9.424,9.009,8.778
2017-08-17 00:00:00,6.045,9.615,8.989,8.677
2017-08-18 00:00:00,5.945,9.668,8.944,9.006
2017-08-19 00:00:00,5.895,9.671,8.842,8.981
2017-08-20 00:00:00,5.859,9.568,8.845,8.891
2017-08-21 00:00:00,5.73,9.526,8.718,8.811
2017-08-22 00:00:00,5.564,9.882,8.597,8.661
2017-08-23 00:00:00,5.743,9.716,8.864,8.494
2017-08-24 00:00:00,5.734,9.699,8.709,8.422
2017-08-25 00:00:00,5.822,9.731,8.612,8.391
2017-08-26 00:00:00,5.833,9.611,8.646,8.304
2017-08-27 00:00:00,5.824,9.476,8.522,8.323
2017-08-28 00:00:00,5.724,9.34,8.5,8.284
2017-08-29 00:00:00,6.101,9.282,8.534,8.218
2017-08-30 00:00:00,5.95,9.162,8.498,8.218
2017-08-31 00:00:00,5.893,9.051,8.466,8.124
2017-09-01 00:00:00,5.767,8.927,8.447,8.059
2017-09-02 00:00:00,5.741,8.9,8.426,7.957
2017-09-03 00:00:00,5.656,8.905,8.926,7.901
2017-09-04 00:00:00,5.524,8.966,8.91,7.836
2017-09-05 00:00:00,5.405,8.837,8.852,7.815
2017-09-06 00:00:00,5.792,8.705,8.763,7.744
2017-09-07 00:00:00,5.741,8.806,8.671,7.723
2017-09-08 00:00:00,5.668,8.917,8.631,8.123
2017-09-09 00:00:00,5.639,8.759,8.656,8.118
2017-09-10 00:00:00,5.641,8.645,8.632,8.034
2017-09-11 00:00:00,5.549,8.717,8.593,8.128
2017-09-12 00:00:00,5.4,9.119,8.565,8.116
2017-09-13 00:00:00,5.391,9.02,8.402,8.03
2017-09-14 00:00:00,5.308,8.982,8.39,8.123
2017-09-15 00:00:00,5.467,8.958,8.424,8.201
2017-09-16 00:00:00,5.404,8.915,8.403,8.094
2017-09-17 00:00:00,5.402,8.908,8.378,8.119
2017-09-18 00:00:00,5.255,8.985,8.306,8.149
2017-09-19 00:00:00,5.272,8.934,8.276,8.299
2017-09-20 00:00:00,5.274,8.831,8.155,8.256
2017-09-21 00:00:00,5.234,8.735,8.14,8.316
2017-09-22 00:00:00,5.174,8.691,8.476,8.325
2017-09-23 00:00:00,5.088,8.686,8.428,8.272
2017-09-24 00:00:00,5.08,8.618,8.37,8.286
2017-09-25 00:00:00,5.124,8.594,8.26,8.198
2017-09-26 00:00:00,4.977,8.672,8.206,8.176
2017-09-27 00:00:00,5.155,8.544,8.047,8.17
2017-09-28 00:00:00,5.164,8.394,7.976,8.052
2017-09-29 00:00:00,5.066,8.286,7.994,7.944
2017-09-30 00:00:00,5.093,8.332,7.905,7.897
2017-10-01 00:00:00,5.079,8.467,7.867,7.903
2017-10-02 00:00:00,5.083,8.557,7.937,7.927
2017-10-03 00:00:00,5.017,8.449,8.06,7.848
2017-10-04 00:00:00,4.991,8.411,8.141,7.81
2017-10-05 00:00:00,5.011,8.613,8.089,7.798
2017-10-06 00:00:00,4.883,8.589,8.007,7.75
2017-10-07 00:00:00,4.885,8.513,8.065,7.673
2017-10-08 00:00:00,4.824,8.44,8.018,7.563
2017-10-09 00:00:00,4.795,8.349,8.255,7.416
2017-10-10 00:00:00,4.798,8.381,8.203,7.399
2017-10-11 00:00:00,4.748,8.443,8.169,7.376
2017-10-12 00:00:00,4.656,8.596,8.135,7.315
2017-10-13 00:00:00,4.623,8.526,8.151,7.36
2017-10-14 00:00:00,4.649,8.51,8.153,7.339
2017-10-15 00:00:00,4.639,8.472,8.21,7.558
2017-10-16 00:00:00,4.603,8.469,8.183,7.565
2017-10-17 00:00:00,4.588,8.367,8.217,7.527
2017-10-18 00:00:00,4.594,8.241,8.105,7.488
2017-10-19 00:00:00,4.693,8.108,8.439,7.418
2017-10-20 00:00:00,4.702,8.149,8.48,7.502
2017-10-21 00:00:00,4.665,8.106,8.434,7.44
2017-10-22 00:00:00,4.677,8.082,8.538,7.425
2017-10-23 00:00:00,4.722,8.153,8.513,7.453
2017-10-24 00:00:00,4.788,8.191,8.482,7.437
2017-10-25 00:00:00,4.816,8.238,8.416,7.448
2017-10-26 00:00:00,4.746,8.149,8.445,7.48
2017-10-27 00:00:00,4.762,8.031,8.38,7.431
2017-10-28 00:00:00,4.666,7.964,8.335,7.462
2017-10-29 00:00:00,4.61,8.121,8.296,7.416
2017-10-30 00:00:00,4.58,8.098,8.274,7.401
2017-10-31 00:00:00,4.594,8.043,8.276,7.448
2017-11-01 00:00:00,4.574,8.035,8.605,7.437
2017-11-02 00:00:00,4.474,8.081,8.574,7.453
2017-11-03 00:00:00,4.48,7.967,8.555,7.438
2017-11-04 00:00:00,4.448,7.957,8.507,7.973
2017-11-05 00:00:00,4.51,8.002,8.446,7.982
2017-11-06 00:00:00,4.482,8.006,8.514,8.038
2017-11-07 00:00:00,4.456,7.976,8.452,8.022
2017-11-08 00:00:00,4.467,8.014,8.504,8.029
2017-11-09 00:00:00,4.432,8.015,8.472,8.148
2017-11-10 00:00:00,4.486,8.074,8.423,8.107
2017-11-11 00:00:00,4.395,8.059,8.323,8.075
2017-11-12 00:00:00,4.834,8.035,9.458,8.057
2017-11-13 00:00:00,4.77,8.043,9.69,8.031
2017-11-14 00:00:00,4.758,8.07,9.59,7.991
2017-11-15 00:00:00,5.323,8.021,9.724,8.317
2017-11-16 00:00:00,5.312,8.392,9.649,8.564
2017-11-17 00:00:00,5.384,8.288,9.58,8.485
2017-11-18 00:00:00,5.397,8.204,9.856,8.412
2017-11-19 00:00:00,5.295,8.254,9.833,8.682
2017-11-20 00:00:00,5.588,8.239,9.804,8.783
2017-11-21 00:00:00,5.633,8.255,9.782,8.819
2017-11-22 00:00:00,5.663,8.242,9.652,8.837
2017-11-23 00:00:00,6.278,8.99,9.767,8.628
2017-11-24 00:00:00,6.231,8.861,9.613,8.543
2017-11-25 00:00:00,6.064,8.856,9.453,8.511
2017-11-26 00:00:00,5.986,8.837,9.46,8.497
2017-11-27 00:00:00,5.924,8.731,9.356,8.518
2017-11-28 00:00:00,5.933,8.659,9.333,8.42
2017-11-29 00:00:00,5.925,8.593,9.251,8.342
2017-11-30 00:00:00,5.897,8.56,9.17,8.255
2017-12-01 00:00:00,6.267,8.505,9.085,8.238
2017-12-02 00:00:00,6.244,8.459,9.113,8.236
2017-12-03 00:00:00,6.202,8.732,9.063,8.408
2017-12-04 00:00:00,6.111,8.725,9.179,8.417
2017-12-05 00:00:00,6.087,8.999,9.088,8.503
2017-12-06 00:00:00,6.079,9.083,8.983,8.493
2017-12-07 00:00:00,6.577,9.147,9.066,8.463
2017-12-08 00:00:00,6.534,9.119,9.015,8.516
2017-12-09 00:00:00,6.448,9.31,8.994,8.395
2017-12-10 00:00:00,6.336,9.19,8.925,8.729
2017-12-11 00:00:00,6.307,9.106,8.843,8.68
2017-12-12 00:00:00,6.33,9.075,8.967,8.698
2017-12-13 00:00:00,6.283,9.357,8.915,8.916
2017-12-14 00:00:00,6.161,9.585,8.903,8.821
2017-12-15 00:00:00,6.131,9.534,8.939,8.695
2017-12-16 00:00:00,5.974,9.495,8.901,8.659
2017-12-17 00:00:00,6.006,9.645,8.93,8.616
2017-12-18 00:00:00,6.166,9.737,8.894,8.565
2017-12-19 00:00:00,6.258,9.694,9.291,8.536
2017-12-20 00:00:00,6.22,9.675,9.307,8.638
2017-12-21 00:00:00,6.519,9.63,9.29,8.81
2017-12-22 00:00:00,6.448,9.67,9.321,8.756
2017-12-23 00:00:00,6.457,9.704,9.271,8.845
2017-12-24 00:00:00,6.439,9.572,9.203,8.783
2017-12-25 00:00:00,6.411,9.669,9.176,8.782
2017-12-26 00:00:00,6.437,9.523,9.094,8.707
2017-12-27 00:00:00,6.435,9.49,9.109,8.672
2017-12-28 00:00:00,6.42,9.483,9.073,8.679
2017-12-29 00:00:00,6.285,9.502,9.211,8.794
2017-12-30 00:00:00,6.338,9.769,9.203,8.757
2017-12-31 00:00:00,6.424,9.925,9.195,8.916
2018-01-01 00:00:00,6.689,9.91,9.237,9.199
2018-01-02 00:00:00,6.589,9.926,9.638,9.091
2018-01-03 00:00:00,6.585,9.954,9.623,9.044
2018-01-04 00:00:00,6.521,10.042,9.592,9.061
2018-01-05 00:00:00,6.532,10.135,9.658,9.105
2018-01-06 00:00:00,6.441,10.138,9.594,9.13
2018-01-07 00:00:00,6.334,10.05,9.519,9.14
2018-01-08 00:00:00,6.304,9.933,9.595,9.12
2018-01-09 00:00:00,6.353,9.883,9.609,9.043
2018-01-10 00:00:00,6.421,9.818,9.56,9.079
2018-01-11 00:00:00,6.393,9.754,9.755,9.2
2018-01-12 00:00:00,6.684,9.72,9.707,9.156
2018-01-13 00:00:00,6.625,9.805,9.621,9.137
2018-01-14 00:00:00,6.579,9.782,9.623,9.077
2018-01-15 00:00:00,6.55,9.726,9.652,9.058
2018-01-16 00:00:00,6.915,9.643,9.663,9.113
2018-01-17 00:00:00,6.993,9.597,9.637,9.076
2018-01-18 00:00:00,6.921,9.769,9.634,9.212
2018-01-19 00:00:00,6.914,9.744,9.632,9.204
2018-01-20 00:00:00,6.846,9.783,9.613,9.794
2018-01-21 00:00:00,6.822,9.661,9.56,9.786
2018-01-22 00:00:00,6.756,9.71,9.607,9.954
2018-01-23 00:00:00,6.748,9.766,9.579,9.96
2018-01-24 00:00:00,6.814,10.133,9.766,10.071
2018-01-25 00:00:00,6.76,10.076,9.677,10.136
2018-01-26 00:00:00,6.731,10.057,9.713,10.047
2018-01-27 00:00:00,6.651,9.991,9.921,9.96
2018-01-28 00:00:00,6.677,10.291,9.898,9.974
2018-01-29 00:00:00,6.718,10.214,9.903,10.004
2018-01-30 00:00:00,6.658,10.187,10.075,9.978
2018-01-31 00:00:00,6.774,10.196,10.094,10.099
2018-02-01 00:00:00,6.738,10.211,10.099,10.07
2018-02-02 00:00:00,6.766,10.237,10.129,10.202
2018-02-03 00:00:00,6.673,10.219,10.188,10.167
2018-02-04 00:00:00,6.641,10.268,10.13,10.177
2018-02-05 00:00:00,6.628,10.274,10.16,10.239
2018-02-06 00:00:00,6.591,10.291,10.285,10.202
2018-02-07 00:00:00,7.167,10.254,10.177,10.146
2018-02-08 00:00:00,7.281,10.222,10.432,10.001
2018-02-09 00:00:00,7.277,10.162,10.349,9.986
2018-02-10 00:00:00,7.27,10.338,10.358,9.92
2018-02-11 00:00:00,7.259,10.267,10.653,9.97
2018-02-12 00:00:00,7.191,10.323,10.632,9.988
2018-02-13 00:00:00,7.238,10.637,10.659,9.982
2018-02-14 00:00:00,7.185,10.914,10.678,9.95
2018-02-15 00:00:00,7.114,10.829,10.678,9.972
2018-02-16 00:00:00,7.183,10.751,10.69,10.029
2018-02-17 00:00:00,7.2,10.851,11.044,10.22
2018-02-18 00:00:00,7.208,10.842,10.941,10.135
2018-02-19 00:00:00,7.206,10.769,10.911,10.162
2018-02-20 00:00:00,7.089,10.812,10.837,10.158
2018-02-21 00:00:00,7.066,10.791,10.761,10.168
2018-02-22 00:00:00,6.996,10.75,10.777,10.062
2018-02-23 00:00:00,6.93,10.682,10.705,10.034
2018-02-24 00:00:00,7.014,10.656,10.729,10.051
2018-02-25 00:00:00,7.013,10.616,10.714,9.993
2018-02-26 00:00:00,7.011,10.581,10.732,9.999
2018-02-27 00:00:00,7.005,10.509,10.782,9.957
2018-02-28 00:00:00,7.122,10.513,10.837,9.932
2018-03-01 00:00:00,7.067,10.533,10.841,10.019
2018-03-02 00:00:00,7.069,10.54,10.857,10.022
2018-03-03 00:00:00,7.092,10.487,10.886,10.008
2018-03-04 00:00:00,7.096,10.899,11.2,10.022
2018-03-05 00:00:00,7.28,10.925,11.109,10.059
2018-03-06 00:00:00,7.273,10.834,11.076,10.027
2018-03-07 00:00:00,7.315,10.75,11.142,9.957
2018-03-08 00:00:00,7.369,10.988,11.058,9.956
2018-03-09 00:00:00,7.385,11.024,11.028,9.906
2018-03-10 00:00:00,7.392,11.022,10.986,9.876
2018-03-11 00:00:00,7.442,10.975,10.921,9.972
2018-03-12 00:00:00,7.408,10.969,10.89,10.03
2018-03-13 00:00:00,7.411,10.992,10.851,10.09
2018-03-14 00:00:00,7.549,10.991,10.86,10.102
2018-03-15 00:00:00,7.6,10.992,10.861,10.385
2018-03-16 00:00:00,7.668,10.881,10.905,10.668
2018-03-17 00:00:00,7.67,10.787,10.955,10.589
2018-03-18 00:00:00,7.825,10.71,10.963,10.649
2018-03-19 00:00:00,7.761,10.675,11.059,10.697
2018-03-20 00:00:00,7.723,11.051,11.029,10.69
2018-03-21 00:00:00,7.694,11.01,10.889,10.692
2018-03-22 00:00:00,7.673,11.029,10.822,10.598
2018-03-23 00:00:00,7.59,11.02,10.784,10.581
2018-03-24 00:00:00,7.667,10.945,10.772,10.512
2018-03-25 00:00:00,7.677,11.074,10.677,10.443
2018-03-26 00:00:00,8.111,11.153,10.736,10.696
2018-03-27 00:00:00,8.109,11.319,10.806,10.627
2018-03-28 00:00:00,8.12,11.33,10.916,10.538
2018-03-29 00:00:00,8.154,11.233,10.932,10.449
2018-03-30 00:00:00,8.109,11.244,10.935,10.599
2018-03-31 00:00:00,8.111,11.25,11.099,10.539
2018-04-01 00:00:00,8.046,11.278,11.132,10.508
2018-04-02 00:00:00,8.011,11.275,11.105,10.451
2018-04-03 00:00:00,8.028,11.313,11.036,10.661
2018-04-04 00:00:00,8.017,11.255,10.965,10.74
2018-04-05 00:00:00,7.994,11.297,11.045,10.837
2018-04-06 00:00:00,7.909,11.456,11.084,10.782
2018-04-07 00:00:00,8.385,11.357,11.156,10.738
2018-04-08 00:00:00,8.509,11.493,11.219,10.672
2018-04-09 00:00:00,8.512,11.443,11.159,10.879
2018-04-10 00:00:00,8.447,11.363,11.082,10.867
2018-04-11 00:00:00,8.425,11.269,11.04,10.879
2018-04-12 00:00:00,8.579,11.276,11.015,10.809
2018-04-13 00:00:00,8.521,11.4,10.906,10.791
2018-04-14 00:00:00,8.376,11.38,10.89,10.748
2018-04-15 00:00:00,8.386,11.33,10.904,11.034
2018-04-16 00:00:00,8.24,11.238,10.952,10.919
2018-04-17 00:00:00,8.669,11.215,10.917,10.952
2018-04-18 00:00:00,8.533,11.176,11.389,10.885
2018-04-19 00:00:00,8.595,11.117,11.303,10.729
2018-04-20 00:00:00,8.65,11.117,11.239,10.613
2018-04-21 00:00:00,8.547,11.06,11.185,10.499
2018-04-22 00:00:00,8.534,11.068,11.078,10.408
2018-04-23 00:00:00,8.442,11.049,10.988,10.467
2018-04-24 00:00:00,8.342,10.962,11.024,10.518
2018-04-25 00:00:00,8.277,10.998,11.099,10.908
2018-04-26 00:00:00,8.228,10.97,11.085,10.792
